segment_index,start,end,duration,active_gateway_count,active_region_count,covered_region_count,active_weight,covered_weight,normalized_coverage
437,28740.0,28800.0,60.0,1,0,0,0.0,0.0,
438,28800.0,28860.0,60.0,1,0,0,0.0,0.0,
439,28860.0,28920.0,60.0,1,0,0,0.0,0.0,
440,28920.0,28980.0,60.0,1,0,0,0.0,0.0,
441,28980.0,29040.0,60.0,1,0,0,0.0,0.0,
442,29040.0,29100.0,60.0,1,0,0,0.0,0.0,
443,29100.0,29160.0,60.0,1,0,0,0.0,0.0,
444,29160.0,29220.0,60.0,1,0,0,0.0,0.0,
445,29220.0,29280.0,60.0,1,0,0,0.0,0.0,
446,29280.0,29340.0,60.0,1,0,0,0.0,0.0,
447,29340.0,29400.0,60.0,1,0,0,0.0,0.0,
448,29400.0,29460.0,60.0,1,0,0,0.0,0.0,
449,29460.0,29580.0,120.0,1,0,0,0.0,0.0,
450,29580.0,29640.0,60.0,1,1,0,0.2,0.0,0.0
451,29640.0,29700.0,60.0,1,1,0,0.2,0.0,0.0
452,29700.0,29760.0,60.0,1,0,0,0.0,0.0,
453,29760.0,29880.0,120.0,1,0,0,0.0,0.0,
454,29880.0,29940.0,60.0,1,0,0,0.0,0.0,
455,29940.0,30000.0,60.0,1,0,0,0.0,0.0,
456,30000.0,30060.0,60.0,1,0,0,0.0,0.0,
457,30060.0,30120.0,60.0,1,0,0,0.0,0.0,
458,30120.0,30180.0,60.0,1,0,0,0.0,0.0,
459,30180.0,30240.0,60.0,1,1,0,0.2,0.0,0.0
460,30240.0,30300.0,60.0,1,1,0,0.2,0.0,0.0
461,30300.0,30360.0,60.0,1,1,0,0.2,0.0,0.0
462,30360.0,30420.0,60.0,1,0,0,0.0,0.0,
463,30420.0,30480.0,60.0,1,1,1,0.35,0.35,1.0
464,30480.0,30540.0,60.0,1,1,1,0.35,0.35,1.0
465,30540.0,30600.0,60.0,1,1,1,0.35,0.35,1.0
466,30600.0,30660.0,60.0,1,0,0,0.0,0.0,
467,30660.0,30720.0,60.0,1,0,0,0.0,0.0,
468,30720.0,30840.0,120.0,1,0,0,0.0,0.0,
469,30840.0,30900.0,60.0,1,1,1,0.2,0.2,1.0
470,30900.0,30960.0,60.0,1,1,1,0.2,0.2,1.0
471,30960.0,31020.0,60.0,1,1,1,0.2,0.2,1.0
472,31020.0,31140.0,120.0,1,1,1,0.35,0.35,1.0
473,31140.0,31200.0,60.0,1,1,1,0.35,0.35,1.0
474,31200.0,31260.0,60.0,1,1,1,0.35,0.35,1.0
475,31260.0,31320.0,60.0,1,0,0,0.0,0.0,
476,31320.0,31380.0,60.0,1,0,0,0.0,0.0,
477,31380.0,31440.0,60.0,1,1,1,0.2,0.2,1.0
478,31440.0,31500.0,60.0,1,1,1,0.2,0.2,1.0
479,31500.0,31560.0,60.0,1,1,1,0.2,0.2,1.0
480,31560.0,31620.0,60.0,1,2,2,0.4,0.4,1.0
481,31620.0,31680.0,60.0,1,3,3,0.75,0.75,1.0
482,31680.0,31740.0,60.0,1,2,2,0.55,0.55,1.0
483,31740.0,31800.0,60.0,1,1,1,0.35,0.35,1.0
484,31800.0,31860.0,60.0,1,1,1,0.35,0.35,1.0
485,31860.0,31920.0,60.0,1,0,0,0.0,0.0,
486,31920.0,31980.0,60.0,1,0,0,0.0,0.0,
487,31980.0,32100.0,120.0,1,0,0,0.0,0.0,
488,32100.0,32160.0,60.0,1,1,1,0.2,0.2,1.0
489,32160.0,32220.0,60.0,1,2,2,0.4,0.4,1.0
490,32220.0,32260.001,40.001000000000204,1,2,2,0.4,0.4,1.0
491,32260.001,32340.0,79.9989999999998,2,2,2,0.4,0.4,1.0
492,32340.0,32400.0,60.0,2,2,2,0.55,0.55,1.0
493,32400.0,32460.0,60.0,2,1,1,0.35,0.35,1.0
494,32460.0,32520.0,60.0,2,1,1,0.35,0.35,1.0
495,32520.0,32580.0,60.0,2,0,0,0.0,0.0,
496,32580.0,32640.0,60.0,2,0,0,0.0,0.0,
497,32640.0,32700.0,60.0,2,1,1,0.25,0.25,1.0
498,32700.0,32760.0,60.0,2,2,2,0.45,0.45,1.0
499,32760.0,32820.0,60.0,2,2,2,0.4,0.4,1.0
500,32820.0,32880.0,60.0,2,2,2,0.4,0.4,1.0
501,32880.0,32940.0,60.0,2,2,2,0.55,0.55,1.0
502,32940.0,33000.0,60.0,2,2,2,0.55,0.55,1.0
503,33000.0,33060.0,60.0,2,2,2,0.55,0.55,1.0
